isco_code,title,definition,tasks,major_code,major_group,prompt_text
31,Science and Engineering Associate Professionals,"Science and engineering associate professionals perform technical tasks connected with research and operational methods in science and engineering. They supervise and control technical and operational aspects of mining, manufacturing, construction and other engineering operations, and operate technical equipment including aircraft and ships. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.","Tasks performed by workers in this sub-major group usually include: setting up, monitoring and operating instruments and equipment, conducting and monitoring experiments and tests of systems; collecting and testing samples; recording observations and analysing data; preparing, revising and interpreting technical drawings and diagrams; coordinating, supervising, controlling and scheduling the activities of other workers; operating and monitoring switchboards, computerized control systems, and multi-function process control machinery; performing technical functions to ensure safe and efficient movement and operations ships, aircraft and other equipment.",3,Technicians and Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Science and Engineering Associate Professionals

Definition:
Science and engineering associate professionals perform technical tasks connected with research and operational methods in science and engineering. They supervise and control technical and operational aspects of mining, manufacturing, construction and other engineering operations, and operate technical equipment including aircraft and ships. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: setting up, monitoring and operating instruments and equipment, conducting and monitoring experiments and tests of systems; collecting and testing samples; recording observations and analysing data; preparing, revising and interpreting technical drawings and diagrams; coordinating, supervising, controlling and scheduling the activities of other workers; operating and monitoring switchboards, computerized control systems, and multi-function process control machinery; performing technical functions to ensure safe and efficient movement and operations ships, aircraft and other equipment."
32,Health Associate Professionals,"Health associate professionals perform technical and practical tasks to support diagnosis and treatment of illness, disease, injuries and impairments in humans and animals, and to support implementation of health care, treatment and referral plans usually established by medical, veterinary, nursing and other health professionals. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.","Tasks performed by workers in the sub-major group usually include: testing and operating medical imaging equipment and administering  radiation therapy; performing clinical tests on specimens of bodily fluids and tissues; preparing medications and other pharmaceutical compounds under the guidance of pharmacists; designing, fitting, servicing and repairing medical and dental devices and appliances; providing nursing and personal care and midwifery support services; using herbal and other therapies based on theories, beliefs and experiences originating in specific cultures.",3,Technicians and Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Health Associate Professionals

Definition:
Health associate professionals perform technical and practical tasks to support diagnosis and treatment of illness, disease, injuries and impairments in humans and animals, and to support implementation of health care, treatment and referral plans usually established by medical, veterinary, nursing and other health professionals. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.

Tasks include:
Tasks performed by workers in the sub-major group usually include: testing and operating medical imaging equipment and administering  radiation therapy; performing clinical tests on specimens of bodily fluids and tissues; preparing medications and other pharmaceutical compounds under the guidance of pharmacists; designing, fitting, servicing and repairing medical and dental devices and appliances; providing nursing and personal care and midwifery support services; using herbal and other therapies based on theories, beliefs and experiences originating in specific cultures."
33,Business and Administration Associate Professionals,"Business and administration associate professionals perform mostly technical tasks connected with the practical application of knowledge relating to financial accounting and transaction matters, mathematical calculations, human resource development, selling and buying financial instruments, specialized secretarial tasks, and enforcing or applying government rules. Also included are workers who provide business services such as customs clearance, conference planning, job placements, buying and selling real estate or bulk commodities, and serving as agents for performers such as athletes and artists. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.","Tasks performed by workers in this sub-major group usually include: recording and transmitting buy and sell orders for securities, stocks, bonds or other financial instruments and for foreign exchange for future or immediate delivery; submitting credit and loan applications to management with recommendations for approval or rejection; approving or rejecting applications within authorized limits ensuring that credit standards of the institution are respected; maintaining complete records of all financial transactions of an undertaking according to general bookkeeping principles, with guidance from accountants; assisting in planning and performing mathematical, statistical, actuarial, accounting and related calculations; selling and buying financial instruments.",3,Technicians and Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Business and Administration Associate Professionals

Definition:
Business and administration associate professionals perform mostly technical tasks connected with the practical application of knowledge relating to financial accounting and transaction matters, mathematical calculations, human resource development, selling and buying financial instruments, specialized secretarial tasks, and enforcing or applying government rules. Also included are workers who provide business services such as customs clearance, conference planning, job placements, buying and selling real estate or bulk commodities, and serving as agents for performers such as athletes and artists. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: recording and transmitting buy and sell orders for securities, stocks, bonds or other financial instruments and for foreign exchange for future or immediate delivery; submitting credit and loan applications to management with recommendations for approval or rejection; approving or rejecting applications within authorized limits ensuring that credit standards of the institution are respected; maintaining complete records of all financial transactions of an undertaking according to general bookkeeping principles, with guidance from accountants; assisting in planning and performing mathematical, statistical, actuarial, accounting and related calculations; selling and buying financial instruments."
34,"Legal, Social, Cultural and Related Associate Professionals","Legal, social, cultural and related associate professionals perform technical tasks connected with the practical application of knowledge relating to legal services, social work, culture, food preparation, sport and religion. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.","Tasks performed by workers in this sub-major group usually include: providing technical and practical services and support functions in legal processes and investigations, social and community assistance programmes, and religious and cultural activities; participating and adjudicating in sporting events; developing and delivering sports coaching, fitness and recreational programmes; combining creative and technical skills in a variety of artistic, cultural and culinary activities; creating dishes and menus and overseeing the preparation of meals.",3,Technicians and Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Legal, Social, Cultural and Related Associate Professionals

Definition:
Legal, social, cultural and related associate professionals perform technical tasks connected with the practical application of knowledge relating to legal services, social work, culture, food preparation, sport and religion. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: providing technical and practical services and support functions in legal processes and investigations, social and community assistance programmes, and religious and cultural activities; participating and adjudicating in sporting events; developing and delivering sports coaching, fitness and recreational programmes; combining creative and technical skills in a variety of artistic, cultural and culinary activities; creating dishes and menus and overseeing the preparation of meals."
35,Information and Communications Technicians,"Information and communications technicians provide support for the day-to-day running of computer systems, communications systems and networks and perform technical tasks related to telecommunications, broadcast of image and sound as well as other types of telecommunications signals on land, sea or in aircraft. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.","Tasks performed by workers in this sub-major group usually include: providing assistance to information and communications systems users; installing new programmes and equipment; establishing, operating and maintaining network and other data communications systems; installing, monitoring and supporting Internet and Intranet websites or web server hardware or software, modifying web pages; and performing web server backup and recovery operations; controlling equipment to record sound and edit and mix image and sound recordings; controlling and maintaining transmitting and broadcast systems and satellite systems for radio and television programmes; controlling and maintaining radio communications systems, satellite services and multiplex systems on land, sea or in aircraft; providing technical assistance connected with research and the development of computer systems and telecommunications equipment, or testing prototypes; designing and preparing blueprints of circuitry according to the specifications given; providing technical supervision of the manufacture, utilization, maintenance and repair of telecommunications systems.",3,Technicians and Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Information and Communications Technicians

Definition:
Information and communications technicians provide support for the day-to-day running of computer systems, communications systems and networks and perform technical tasks related to telecommunications, broadcast of image and sound as well as other types of telecommunications signals on land, sea or in aircraft. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: providing assistance to information and communications systems users; installing new programmes and equipment; establishing, operating and maintaining network and other data communications systems; installing, monitoring and supporting Internet and Intranet websites or web server hardware or software, modifying web pages; and performing web server backup and recovery operations; controlling equipment to record sound and edit and mix image and sound recordings; controlling and maintaining transmitting and broadcast systems and satellite systems for radio and television programmes; controlling and maintaining radio communications systems, satellite services and multiplex systems on land, sea or in aircraft; providing technical assistance connected with research and the development of computer systems and telecommunications equipment, or testing prototypes; designing and preparing blueprints of circuitry according to the specifications given; providing technical supervision of the manufacture, utilization, maintenance and repair of telecommunications systems."
41,General and Keyboard Clerks,"General and keyboard clerks record, organize, store and retrieve information and perform a wide range of clerical and administrative tasks according to established procedures. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: recording, preparing, sorting, classifying and filing information; sorting, opening and sending mail; preparing reports and correspondence of a routine nature; photocopying and faxing documents; operating personal computers, word-processors or typewriters to record, input and process text and data; proofreading and correcting copy; preparing invoices and checking figures.",4,Clerical Support Workers,"Major group:
Clerical Support Workers

Sub-major group:
General and Keyboard Clerks

Definition:
General and keyboard clerks record, organize, store and retrieve information and perform a wide range of clerical and administrative tasks according to established procedures. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: recording, preparing, sorting, classifying and filing information; sorting, opening and sending mail; preparing reports and correspondence of a routine nature; photocopying and faxing documents; operating personal computers, word-processors or typewriters to record, input and process text and data; proofreading and correcting copy; preparing invoices and checking figures."
42,Customer Services Clerks,"Customer services clerks deal with clients in connection with money-handling operations, travel arrangements, requests for information, making appointments, operating telephone switchboards, and interviewing for surveys or to complete applications for eligibility for services. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: performing money-handling operations in banks, post offices and betting and gambling establishments, or dealing with travel arrangements; supplying information requested by clients and making appointments; operating telephone switchboards; greeting and receiving visitors; interviewing survey respondents; interviewing applicants for services.",4,Clerical Support Workers,"Major group:
Clerical Support Workers

Sub-major group:
Customer Services Clerks

Definition:
Customer services clerks deal with clients in connection with money-handling operations, travel arrangements, requests for information, making appointments, operating telephone switchboards, and interviewing for surveys or to complete applications for eligibility for services. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: performing money-handling operations in banks, post offices and betting and gambling establishments, or dealing with travel arrangements; supplying information requested by clients and making appointments; operating telephone switchboards; greeting and receiving visitors; interviewing survey respondents; interviewing applicants for services."
43,Numerical and Material Recording Clerks,"Numerical and material recording clerks obtain, compile and compute accounting, bookkeeping, statistical, financial, and other numerical data, and take charge of cash transactions incidental to business matters. Some occupations classified here keep records of goods produced, purchased, stocked, dispatched, and of materials needed at specified production dates, or keep records of operational aspects and coordinate the timing of passenger and freight transport. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: helping with accounting and bookkeeping records and computations; calculating unit production costs; calculating wages and in some cases preparing wage packets and paying wages, taking charge of cash transactions incidental to the business; obtaining, compiling and computing statistical or actuarial data; performing clerical tasks relating to the financial transactions of an insurance establishment, bank or similar establishment; recording produced, stocked, ordered and dispatched goods; recording production materials received, put into stock or issued; computing quantities of the production materials required at specified dates and helping with preparation and checking of production operation schedules; keeping records of operational aspects and coordinating the timing of passenger and freight transport.",4,Clerical Support Workers,"Major group:
Clerical Support Workers

Sub-major group:
Numerical and Material Recording Clerks

Definition:
Numerical and material recording clerks obtain, compile and compute accounting, bookkeeping, statistical, financial, and other numerical data, and take charge of cash transactions incidental to business matters. Some occupations classified here keep records of goods produced, purchased, stocked, dispatched, and of materials needed at specified production dates, or keep records of operational aspects and coordinate the timing of passenger and freight transport. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: helping with accounting and bookkeeping records and computations; calculating unit production costs; calculating wages and in some cases preparing wage packets and paying wages, taking charge of cash transactions incidental to the business; obtaining, compiling and computing statistical or actuarial data; performing clerical tasks relating to the financial transactions of an insurance establishment, bank or similar establishment; recording produced, stocked, ordered and dispatched goods; recording production materials received, put into stock or issued; computing quantities of the production materials required at specified dates and helping with preparation and checking of production operation schedules; keeping records of operational aspects and coordinating the timing of passenger and freight transport."
44,Other Clerical Support Workers,"Other clerical support workers sort and deliver mail, file documents, prepare information for processing, maintain personnel records, check material for consistency with original source material, assist persons who cannot read or write, and perform various other specialized clerical duties. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: recording information regarding acquisition, issue and return of library books; classifying and filing various documents and other records; maintaining personnel records; sorting, recording and delivering mail from post offices, as well as from or within an enterprise; coding; correcting proofs; performing a range of miscellaneous clerical duties; writing on behalf of persons who are unable to read or write.",4,Clerical Support Workers,"Major group:
Clerical Support Workers

Sub-major group:
Other Clerical Support Workers

Definition:
Other clerical support workers sort and deliver mail, file documents, prepare information for processing, maintain personnel records, check material for consistency with original source material, assist persons who cannot read or write, and perform various other specialized clerical duties. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: recording information regarding acquisition, issue and return of library books; classifying and filing various documents and other records; maintaining personnel records; sorting, recording and delivering mail from post offices, as well as from or within an enterprise; coding; correcting proofs; performing a range of miscellaneous clerical duties; writing on behalf of persons who are unable to read or write."
51,Personal Service Workers,"Personal service workers provide personal services related to travel, housekeeping, catering and hospitality, hairdressing and beauty treatment, animal care grooming and training, companionship and other services of a personal nature. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include:  organizing and providing of services in connection with travel and sightseeing; housekeeping; preparing and serving food and beverages; hairdressing and beauty treatment; telling fortunes; embalming and arranging funerals; grooming, caring for and training animals; teaching people to drive motor vehicles; providing companionship and other personal services. Supervision of other workers may be included.",5,Service and Sales Workers,"Major group:
Service and Sales Workers

Sub-major group:
Personal Service Workers

Definition:
Personal service workers provide personal services related to travel, housekeeping, catering and hospitality, hairdressing and beauty treatment, animal care grooming and training, companionship and other services of a personal nature. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include:  organizing and providing of services in connection with travel and sightseeing; housekeeping; preparing and serving food and beverages; hairdressing and beauty treatment; telling fortunes; embalming and arranging funerals; grooming, caring for and training animals; teaching people to drive motor vehicles; providing companionship and other personal services. Supervision of other workers may be included."
52,Sales Workers,"Sales workers sell and demonstrate goods in wholesale or retail shops, at stalls and markets, door-to-door, via telephone or customer contact centres. They may record and accept payment for goods and services purchased, and may operate small retail outlets. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group  include: selling goods in wholesale or retail establishments, at street or market stalls, door-to- door, via telephone or customer contact centres; demonstrating and displaying goods to potential customers; selling and serving food for immediate consumption at counters and in the street; buying or contracting a regular supply of products to be sold; stacking and displaying goods for sale and wrapping and packing goods sold; determining product mix, stock and price levels for goods to be sold; operating cash registers, optical price scanners, computers or other equipment to record and accept payment for the purchase of goods and  services. Supervision of other workers may be required in some occupations classified  here.",5,Service and Sales Workers,"Major group:
Service and Sales Workers

Sub-major group:
Sales Workers

Definition:
Sales workers sell and demonstrate goods in wholesale or retail shops, at stalls and markets, door-to-door, via telephone or customer contact centres. They may record and accept payment for goods and services purchased, and may operate small retail outlets. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group  include: selling goods in wholesale or retail establishments, at street or market stalls, door-to- door, via telephone or customer contact centres; demonstrating and displaying goods to potential customers; selling and serving food for immediate consumption at counters and in the street; buying or contracting a regular supply of products to be sold; stacking and displaying goods for sale and wrapping and packing goods sold; determining product mix, stock and price levels for goods to be sold; operating cash registers, optical price scanners, computers or other equipment to record and accept payment for the purchase of goods and  services. Supervision of other workers may be required in some occupations classified  here."
53,Personal Care Workers,"Personal care workers provide care, supervision and assistance for children, patients and elderly, convalescent or disabled persons in institutional and residential settings. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: assisting with mobility, washing and other personal needs; assisting children individually to learn social skills; supervising and participating in activities that enhance  children’s physical, social, emotional and intellectual development; observing and reporting concerns to appropriate health or social service workers.",5,Service and Sales Workers,"Major group:
Service and Sales Workers

Sub-major group:
Personal Care Workers

Definition:
Personal care workers provide care, supervision and assistance for children, patients and elderly, convalescent or disabled persons in institutional and residential settings. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: assisting with mobility, washing and other personal needs; assisting children individually to learn social skills; supervising and participating in activities that enhance  children’s physical, social, emotional and intellectual development; observing and reporting concerns to appropriate health or social service workers."
54,Protective Services Workers,"Protective services workers protect individuals and property against fire and other hazards, maintain law and order and enforce laws and regulations. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: preventing, fighting and extinguishing fires; rescuing people from burning buildings and accident sites and those trapped in dangerous situations; maintaining law and order, enforcing laws and regulations, patrolling public areas and arresting suspected offenders; directing traffic and assuming authority in the event of accidents; watching over and maintaining order among inmates of prisons, reformatories or penitentiaries; patrolling or monitoring premises to guard property against theft and vandalism, controlling access to establishments and maintaining order and enforcing regulations at public events and within establishments. Supervision of other workers may be included.",5,Service and Sales Workers,"Major group:
Service and Sales Workers

Sub-major group:
Protective Services Workers

Definition:
Protective services workers protect individuals and property against fire and other hazards, maintain law and order and enforce laws and regulations. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: preventing, fighting and extinguishing fires; rescuing people from burning buildings and accident sites and those trapped in dangerous situations; maintaining law and order, enforcing laws and regulations, patrolling public areas and arresting suspected offenders; directing traffic and assuming authority in the event of accidents; watching over and maintaining order among inmates of prisons, reformatories or penitentiaries; patrolling or monitoring premises to guard property against theft and vandalism, controlling access to establishments and maintaining order and enforcing regulations at public events and within establishments. Supervision of other workers may be included."
61,Market-oriented Skilled Agricultural Workers,"Market-oriented skilled agricultural workers plan, organize and perform farming operations to grow and harvest field or tree and shrub crops and produce a variety of animals and animal products for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: preparing the soil; sowing, planting, spraying, fertilizing and harvesting field crops; growing fruit and other tree and shrub crops; growing garden vegetables and horticultural products; raising, breeding and tending animals mainly to obtain meat, milk, hair, fur, skin, or sericultural, apiarian or other products; storing and carrying out some processing of produce; selling their products to purchasers, marketing organizations or at markets. Supervision of other workers may be included.",6,"Skilled Agricultural, Forestry and Fishery Workers","Major group:
Skilled Agricultural, Forestry and Fishery Workers

Sub-major group:
Market-oriented Skilled Agricultural Workers

Definition:
Market-oriented skilled agricultural workers plan, organize and perform farming operations to grow and harvest field or tree and shrub crops and produce a variety of animals and animal products for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: preparing the soil; sowing, planting, spraying, fertilizing and harvesting field crops; growing fruit and other tree and shrub crops; growing garden vegetables and horticultural products; raising, breeding and tending animals mainly to obtain meat, milk, hair, fur, skin, or sericultural, apiarian or other products; storing and carrying out some processing of produce; selling their products to purchasers, marketing organizations or at markets. Supervision of other workers may be included."
62,"Market-Oriented Skilled Forestry, Fishery and Hunting Workers","Market-oriented skilled forestry, fishery and hunting workers plan, organize and perform operations to cultivate, conserve and exploit natural and plantation forests, breed and raise fish, harvest and catch fish; and hunt and trap animals, for sale or delivery on a regular basis to wholesale buyers, marketing organizations or at markets. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: renting or investing, equipment and machinery and purchasing supplies; planning and undertaking forestry, aquaculture, fishery and hunting operations; maintaining buildings, tanks, machinery and other equipment; delivering or marketing products; supervising and training other workers.",6,"Skilled Agricultural, Forestry and Fishery Workers","Major group:
Skilled Agricultural, Forestry and Fishery Workers

Sub-major group:
Market-Oriented Skilled Forestry, Fishery and Hunting Workers

Definition:
Market-oriented skilled forestry, fishery and hunting workers plan, organize and perform operations to cultivate, conserve and exploit natural and plantation forests, breed and raise fish, harvest and catch fish; and hunt and trap animals, for sale or delivery on a regular basis to wholesale buyers, marketing organizations or at markets. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: renting or investing, equipment and machinery and purchasing supplies; planning and undertaking forestry, aquaculture, fishery and hunting operations; maintaining buildings, tanks, machinery and other equipment; delivering or marketing products; supervising and training other workers."
63,"Subsistence Farmers, Fishers, Hunters and Gatherers","Subsistence farmers, fishers, hunters and gatherers grow and harvest field or tree and shrub crops, vegetables and fruit, gather wild fruits, medicinal and other plants, tend or hunt animals, catch fish and gather various forms of aquatic life in order to provide food, shelter and, in some cases, a minimum of cash income for themselves and their households. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: preparing the soil; sowing, planting, tending and harvesting field crops; growing vegetables, fruit and other tree and shrub crops; gathering wild fruits and medicinal and other plants; breeding, tending and feeding animals and poultry mainly to obtain meat, eggs, milk, hair, skin or other products; hunting or trapping animals; catching fish and gathering other forms of aquatic life; fetching water and gathering firewood; storing produce for later use and carrying out some processing of produce; building and maintaining houses and other shelters; making tools, clothes and utensils for use by the household; selling or bartering some products at local markets.",6,"Skilled Agricultural, Forestry and Fishery Workers","Major group:
Skilled Agricultural, Forestry and Fishery Workers

Sub-major group:
Subsistence Farmers, Fishers, Hunters and Gatherers

Definition:
Subsistence farmers, fishers, hunters and gatherers grow and harvest field or tree and shrub crops, vegetables and fruit, gather wild fruits, medicinal and other plants, tend or hunt animals, catch fish and gather various forms of aquatic life in order to provide food, shelter and, in some cases, a minimum of cash income for themselves and their households. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: preparing the soil; sowing, planting, tending and harvesting field crops; growing vegetables, fruit and other tree and shrub crops; gathering wild fruits and medicinal and other plants; breeding, tending and feeding animals and poultry mainly to obtain meat, eggs, milk, hair, skin or other products; hunting or trapping animals; catching fish and gathering other forms of aquatic life; fetching water and gathering firewood; storing produce for later use and carrying out some processing of produce; building and maintaining houses and other shelters; making tools, clothes and utensils for use by the household; selling or bartering some products at local markets."
71,Building and Related Trades Workers (excluding Electricians),"Building and related trades workers construct, maintain and repair buildings, erect and repair foundations, walls and structures of brick, stone and similar materials; shape and finish stone for building and other purposes. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.
The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of the work organization, the materials and tools used, and the nature and purpose of the final product. ","Tasks performed by workers in this sub-major group usually include: constructing, maintaining and repairing buildings and other structures, using traditional and/or modern building techniques; constructing and repairing foundations, walls and structures of brick, stone and similar materials; breaking quarried stone into slabs or blocks; cutting, shaping and finishing stone for building, ornamental, monumental and other purposes; erecting reinforced concrete frameworks and structures as well as finishing and repairing cement surfaces; cutting, shaping, assembling and maintaining wooden structures and fittings; performing miscellaneous construction and building maintenance tasks. Supervision of other workers may be included.",7,Craft and Related Trades Workers,"Major group:
Craft and Related Trades Workers

Sub-major group:
Building and Related Trades Workers (excluding Electricians)

Definition:
Building and related trades workers construct, maintain and repair buildings, erect and repair foundations, walls and structures of brick, stone and similar materials; shape and finish stone for building and other purposes. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.
The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of the work organization, the materials and tools used, and the nature and purpose of the final product. 

Tasks include:
Tasks performed by workers in this sub-major group usually include: constructing, maintaining and repairing buildings and other structures, using traditional and/or modern building techniques; constructing and repairing foundations, walls and structures of brick, stone and similar materials; breaking quarried stone into slabs or blocks; cutting, shaping and finishing stone for building, ornamental, monumental and other purposes; erecting reinforced concrete frameworks and structures as well as finishing and repairing cement surfaces; cutting, shaping, assembling and maintaining wooden structures and fittings; performing miscellaneous construction and building maintenance tasks. Supervision of other workers may be included."
72,"Metal, Machinery and Related Trades Workers","Metal, machinery and related trades workers cast, weld, forge and, by other methods, form metal; erect, maintain and repair heavy metal structures; engage in machine-tool setting as well as in fitting, maintaining and repairing machinery, including engines, vehicles, or they produce tools and various non-precious-metal articles. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.
The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of the work organisation, the materials and tools used, and the nature and purpose of the final product.","Tasks performed by workers in this sub-major group usually include: making moulds and cores for casting metal; casting, welding and shaping metal; installing, erecting, maintaining and repairing heavy metal structures, tackle and related equipment; forging and forming steel and other non-precious metals to make and repair machinery, tools, equipment and other articles; setting for operators or setting and operating various machine tools; fitting, maintaining and repairing industrial machinery, including engines and vehicles. Supervision of other workers may be included.",7,Craft and Related Trades Workers,"Major group:
Craft and Related Trades Workers

Sub-major group:
Metal, Machinery and Related Trades Workers

Definition:
Metal, machinery and related trades workers cast, weld, forge and, by other methods, form metal; erect, maintain and repair heavy metal structures; engage in machine-tool setting as well as in fitting, maintaining and repairing machinery, including engines, vehicles, or they produce tools and various non-precious-metal articles. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.
The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of the work organisation, the materials and tools used, and the nature and purpose of the final product.

Tasks include:
Tasks performed by workers in this sub-major group usually include: making moulds and cores for casting metal; casting, welding and shaping metal; installing, erecting, maintaining and repairing heavy metal structures, tackle and related equipment; forging and forming steel and other non-precious metals to make and repair machinery, tools, equipment and other articles; setting for operators or setting and operating various machine tools; fitting, maintaining and repairing industrial machinery, including engines and vehicles. Supervision of other workers may be included."
73,Handicraft and Printing Workers,"Handicraft and printing workers combine artistic and manual skills to design, produce, maintain and decorate precision instruments, musical instruments, jewellery and other precious-metals, pottery, porcelain and glassware, items made of wood or textile, leather or related materials, and printed products such as books, newspapers and magazines. They apply traditional and/or recently developed techniques to carve, mould, assemble, weave and decorate various articles; to compose and set type prior to printing; to set up and operate printing presses; to bind and finish printed products; and to prepare stencils and operate screen printing equipment. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work may be carried out by hand or involve the use of hand tools, hand-held power tools and in some cases the set-up and operation of machinery and machine tools. The tasks call for an understanding of the work organisation, the materials and tools used, and the nature and purpose of the final product.","Tasks performed by workers in this sub-major group usually include: making and repairing nautical, meteorological, optical and other precision instruments and equipment; making and repairing musical instruments; making jewellery and precious metalware; making pottery, porcelain ware, ceramics and glassware; painting and decorating various articles; producing handicraft articles in wood or textile, leather and related materials; performing printing or book-binding tasks. Supervision of other workers may be included.",7,Craft and Related Trades Workers,"Major group:
Craft and Related Trades Workers

Sub-major group:
Handicraft and Printing Workers

Definition:
Handicraft and printing workers combine artistic and manual skills to design, produce, maintain and decorate precision instruments, musical instruments, jewellery and other precious-metals, pottery, porcelain and glassware, items made of wood or textile, leather or related materials, and printed products such as books, newspapers and magazines. They apply traditional and/or recently developed techniques to carve, mould, assemble, weave and decorate various articles; to compose and set type prior to printing; to set up and operate printing presses; to bind and finish printed products; and to prepare stencils and operate screen printing equipment. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work may be carried out by hand or involve the use of hand tools, hand-held power tools and in some cases the set-up and operation of machinery and machine tools. The tasks call for an understanding of the work organisation, the materials and tools used, and the nature and purpose of the final product.

Tasks include:
Tasks performed by workers in this sub-major group usually include: making and repairing nautical, meteorological, optical and other precision instruments and equipment; making and repairing musical instruments; making jewellery and precious metalware; making pottery, porcelain ware, ceramics and glassware; painting and decorating various articles; producing handicraft articles in wood or textile, leather and related materials; performing printing or book-binding tasks. Supervision of other workers may be included."
