isco_code,title,definition,tasks,major_code,submajor_code,major_group,submajor_group,prompt_text
243,"Sales, Marketing and Public Relations Professionals","Sales, marketing and public relations professionals plan, develop, coordinate and implement programmes of information dissemination to promote organizations, goods and services; and represent companies in selling a range of technical, industrial, medical, pharmaceutical and ICT goods and services.","Tasks performed usually include: commissioning and undertaking market research, analysing the findings and planning advertising, marketing and public relations activities; supporting business growth and development through the preparation and execution of marketing objectives, policies and programmes; planning and organizing publicity campaigns; appraising and selecting material submitted by writers, photographers, illustrators and others to create favourable publicity; acquiring and updating knowledge of employers’ and competitors’ goods and services, and market conditions; assessing customers’ needs and explaining and demonstrating goods and services to them; visiting regular and prospective client businesses to establish and act on marketing opportunities; quoting and negotiating prices and credit terms, and completing contracts.",2,24,Professionals,Business and Administration Professionals,"Major group:
Professionals

Sub-major group:
Business and Administration Professionals

Minor group:
Sales, Marketing and Public Relations Professionals

Definition:
Sales, marketing and public relations professionals plan, develop, coordinate and implement programmes of information dissemination to promote organizations, goods and services; and represent companies in selling a range of technical, industrial, medical, pharmaceutical and ICT goods and services.

Tasks include:
Tasks performed usually include: commissioning and undertaking market research, analysing the findings and planning advertising, marketing and public relations activities; supporting business growth and development through the preparation and execution of marketing objectives, policies and programmes; planning and organizing publicity campaigns; appraising and selecting material submitted by writers, photographers, illustrators and others to create favourable publicity; acquiring and updating knowledge of employers’ and competitors’ goods and services, and market conditions; assessing customers’ needs and explaining and demonstrating goods and services to them; visiting regular and prospective client businesses to establish and act on marketing opportunities; quoting and negotiating prices and credit terms, and completing contracts."
251,Software and Applications Developers and Analysts,"Software and applications developers and analysts conduct research, plan, design, write, test, provide advice on and improve information technology systems such as hardware, software and other applications to meet specific requirements. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.","Tasks performed usually include: researching information technology use in business functions and identifying areas in which improvements could be made to maximise effectiveness and efficiency; conducting research into the theoretical aspects of and operational methods for the use of computers; evaluating, planning and designing hardware or software configurations for specific applications; designing, writing, testing and maintaining computer programmes for specific requirements; evaluating, planning and designing Internet, Intranet and multimedia systems.",2,25,Professionals,Information and Communications Technology Professionals,"Major group:
Professionals

Sub-major group:
Information and Communications Technology Professionals

Minor group:
Software and Applications Developers and Analysts

Definition:
Software and applications developers and analysts conduct research, plan, design, write, test, provide advice on and improve information technology systems such as hardware, software and other applications to meet specific requirements. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.

Tasks include:
Tasks performed usually include: researching information technology use in business functions and identifying areas in which improvements could be made to maximise effectiveness and efficiency; conducting research into the theoretical aspects of and operational methods for the use of computers; evaluating, planning and designing hardware or software configurations for specific applications; designing, writing, testing and maintaining computer programmes for specific requirements; evaluating, planning and designing Internet, Intranet and multimedia systems."
252,Database and Network Professionals,"Database and network professionals design, develop, control, maintain and support the optimal performance and security of information technology systems and infrastructure, including databases, hardware and software, networks and operating systems.","Tasks performed usually include: designing and developing database architecture, data structures,  dictionaries and naming conventions for information systems projects; designing, constructing, modifying, integrating, implementing and testing database management systems; developing and implementing security plans, data administration policy, documentation and standards; maintaining and administering computer networks and related computing environments; analysing, developing, interpreting and evaluating complex system design and architecture specifications, data models and diagrams in the development, configuration and integration of computer systems.",2,25,Professionals,Information and Communications Technology Professionals,"Major group:
Professionals

Sub-major group:
Information and Communications Technology Professionals

Minor group:
Database and Network Professionals

Definition:
Database and network professionals design, develop, control, maintain and support the optimal performance and security of information technology systems and infrastructure, including databases, hardware and software, networks and operating systems.

Tasks include:
Tasks performed usually include: designing and developing database architecture, data structures,  dictionaries and naming conventions for information systems projects; designing, constructing, modifying, integrating, implementing and testing database management systems; developing and implementing security plans, data administration policy, documentation and standards; maintaining and administering computer networks and related computing environments; analysing, developing, interpreting and evaluating complex system design and architecture specifications, data models and diagrams in the development, configuration and integration of computer systems."
261,Legal Professionals,"Legal professionals conduct research on legal problems, advise clients on legal aspects of problems, plead cases or conduct prosecutions in courts of law, preside over judicial proceedings in courts of law and draft laws and regulations","Tasks performed usually include: giving clients legal advice, undertaking legal business on clients’ behalf, and conducting litigation when necessary; presiding over judicial proceedings- and pronouncing judgement in courts of law. Supervision of other workers may be included.",2,26,Professionals,"Legal, Social and Cultural Professionals","Major group:
Professionals

Sub-major group:
Legal, Social and Cultural Professionals

Minor group:
Legal Professionals

Definition:
Legal professionals conduct research on legal problems, advise clients on legal aspects of problems, plead cases or conduct prosecutions in courts of law, preside over judicial proceedings in courts of law and draft laws and regulations

Tasks include:
Tasks performed usually include: giving clients legal advice, undertaking legal business on clients’ behalf, and conducting litigation when necessary; presiding over judicial proceedings- and pronouncing judgement in courts of law. Supervision of other workers may be included."
262,"Librarians, Archivists and Curators","Librarians, archivists and curators develop and maintain the collections of archives, libraries, museums, art galleries, and similar establishments.","Tasks performed usually include: appraising or developing and organizing the contents of archives and artefacts of historical, cultural and artistic interest, and ensuring their safe-keeping and preservation; organizing the collections of and exhibitions at museums, art galleries and similar establishments; developing and maintaining the systematic collection of recorded and published material and making it available to users in libraries and related institutions; preparing scholarly papers and reports; conducting research.",2,26,Professionals,"Legal, Social and Cultural Professionals","Major group:
Professionals

Sub-major group:
Legal, Social and Cultural Professionals

Minor group:
Librarians, Archivists and Curators

Definition:
Librarians, archivists and curators develop and maintain the collections of archives, libraries, museums, art galleries, and similar establishments.

Tasks include:
Tasks performed usually include: appraising or developing and organizing the contents of archives and artefacts of historical, cultural and artistic interest, and ensuring their safe-keeping and preservation; organizing the collections of and exhibitions at museums, art galleries and similar establishments; developing and maintaining the systematic collection of recorded and published material and making it available to users in libraries and related institutions; preparing scholarly papers and reports; conducting research."
263,Social and Religious Professionals,"Social and religious professionals conduct research, improve or develop concepts, theories and operational methods; apply knowledge relating to philosophy, politics, economics, sociology, anthropology, history, psychology, and other social sciences; or provide social services to meet the needs of individuals and families in a community.","Tasks performed usually include: formulating and applying solutions to present or projected economic, political or social problems; researching into and analysing past events and activities and tracing the origin and evolution of the human race; studying mental processes and behaviour of individuals and groups; providing social services; preparing scholarly papers and reports. Supervision of other workers may be included.",2,26,Professionals,"Legal, Social and Cultural Professionals","Major group:
Professionals

Sub-major group:
Legal, Social and Cultural Professionals

Minor group:
Social and Religious Professionals

Definition:
Social and religious professionals conduct research, improve or develop concepts, theories and operational methods; apply knowledge relating to philosophy, politics, economics, sociology, anthropology, history, psychology, and other social sciences; or provide social services to meet the needs of individuals and families in a community.

Tasks include:
Tasks performed usually include: formulating and applying solutions to present or projected economic, political or social problems; researching into and analysing past events and activities and tracing the origin and evolution of the human race; studying mental processes and behaviour of individuals and groups; providing social services; preparing scholarly papers and reports. Supervision of other workers may be included."
264,"Authors, Journalists and Linguists","Authors, journalists and linguists conceive and create literary works, interpret and communicate news and public affairs through the media; and translate or interpret from one language into another.","Tasks performed usually include: writing literary works; appraising merits of literary and other works of art; collecting information about current affairs and writing about them; researching, investigating, interpreting and communicating news and public affairs through newspapers, television, radio and other media; translating written material from one language to another; simultaneously translating from one language to another.",2,26,Professionals,"Legal, Social and Cultural Professionals","Major group:
Professionals

Sub-major group:
Legal, Social and Cultural Professionals

Minor group:
Authors, Journalists and Linguists

Definition:
Authors, journalists and linguists conceive and create literary works, interpret and communicate news and public affairs through the media; and translate or interpret from one language into another.

Tasks include:
Tasks performed usually include: writing literary works; appraising merits of literary and other works of art; collecting information about current affairs and writing about them; researching, investigating, interpreting and communicating news and public affairs through newspapers, television, radio and other media; translating written material from one language to another; simultaneously translating from one language to another."
265,Creative and Performing Artists,"Creative and performing artists communicate ideas, impressions and facts in a wide range of media to achieve particular effects; interpret a composition such as a musical score or a script to perform or direct the performance; and host the presentation of such performance and other media events.","Tasks performed usually include: conceiving and creating visual art forms; conceiving and writing original music; devising, directing, rehearsing and performing in music, dance, theatrical and film productions; assuming creative, financial and organizational responsibilities in the production of television programmes, films, and stage presentations; studying script, play or book and preparing and rehearsing interpretation; selecting and introducing music, videos and other entertainment material for broadcast and making commercial and public service announcements.",2,26,Professionals,"Legal, Social and Cultural Professionals","Major group:
Professionals

Sub-major group:
Legal, Social and Cultural Professionals

Minor group:
Creative and Performing Artists

Definition:
Creative and performing artists communicate ideas, impressions and facts in a wide range of media to achieve particular effects; interpret a composition such as a musical score or a script to perform or direct the performance; and host the presentation of such performance and other media events.

Tasks include:
Tasks performed usually include: conceiving and creating visual art forms; conceiving and writing original music; devising, directing, rehearsing and performing in music, dance, theatrical and film productions; assuming creative, financial and organizational responsibilities in the production of television programmes, films, and stage presentations; studying script, play or book and preparing and rehearsing interpretation; selecting and introducing music, videos and other entertainment material for broadcast and making commercial and public service announcements."
311,Physical and Engineering Science Technicians,"Physical and engineering science technicians perform technical tasks to aid in research on and the practical application of concepts, principles and operational methods particular to physical sciences including such areas as engineering, technical drawing or economic efficiency of production processes.","Tasks performed usually include: undertaking and carrying out technical work related to chemistry, physics, geology, meteorology, astronomy, engineering or technical drawing; setting up, operating, and maintaining laboratory instruments and equipment; monitoring experiments, making observations, and calculating and recording results; preparing materials for experimentation; conducting tests of systems; collecting and testing samples; recording observations and analysing data; preparing, revising and interpreting technical drawings, wiring diagrams, circuit board assembly diagrams or layout drawings.",3,31,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Science and Engineering Associate Professionals

Minor group:
Physical and Engineering Science Technicians

Definition:
Physical and engineering science technicians perform technical tasks to aid in research on and the practical application of concepts, principles and operational methods particular to physical sciences including such areas as engineering, technical drawing or economic efficiency of production processes.

Tasks include:
Tasks performed usually include: undertaking and carrying out technical work related to chemistry, physics, geology, meteorology, astronomy, engineering or technical drawing; setting up, operating, and maintaining laboratory instruments and equipment; monitoring experiments, making observations, and calculating and recording results; preparing materials for experimentation; conducting tests of systems; collecting and testing samples; recording observations and analysing data; preparing, revising and interpreting technical drawings, wiring diagrams, circuit board assembly diagrams or layout drawings."
312,"Mining, Manufacturing and Construction Supervisors","Mining, manufacturing and construction supervisors coordinate, supervise, control and schedule the activities of workers in manufacturing, mining and construction operations.","Tasks performed usually include: overseeing, supervising and co-ordinating the activities of tradespersons, process control technicians, machine operators, assemblers,  labourers and other workers; organizing and planning daily work; preparing cost estimates, records and reports; identifying shortages of staff or supplies; ensuring safety of workers; instructing and training new staff.",3,31,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Science and Engineering Associate Professionals

Minor group:
Mining, Manufacturing and Construction Supervisors

Definition:
Mining, manufacturing and construction supervisors coordinate, supervise, control and schedule the activities of workers in manufacturing, mining and construction operations.

Tasks include:
Tasks performed usually include: overseeing, supervising and co-ordinating the activities of tradespersons, process control technicians, machine operators, assemblers,  labourers and other workers; organizing and planning daily work; preparing cost estimates, records and reports; identifying shortages of staff or supplies; ensuring safety of workers; instructing and training new staff."
313,Process Control Technicians,"Process control technicians operate and monitor switchboards, computerized control systems, multi-function process control machinery and maintain processing units in electrical power generation and distribution, wastewater, sewage treatment and waste disposal plants, chemical, petroleum and natural gas refineries, in metal processing and other multiple process operations.","Tasks performed usually include: operating electronic or computerized control panel from a central control room to monitor and optimize processes; controlling process start-up and shut-down; operating and monitoring switchboards and related equipment; monitoring and inspecting equipment and systems to detect malfunctions; taking readings from charts, meters and gauges at established intervals; troubleshooting and take corrective action as necessary; maintaining records, logs and reports; communicating with other personnel to assess equipment operating status; cleaning and maintaining equipment; supervising plant and machine operators, assemblers and other workers.",3,31,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Science and Engineering Associate Professionals

Minor group:
Process Control Technicians

Definition:
Process control technicians operate and monitor switchboards, computerized control systems, multi-function process control machinery and maintain processing units in electrical power generation and distribution, wastewater, sewage treatment and waste disposal plants, chemical, petroleum and natural gas refineries, in metal processing and other multiple process operations.

Tasks include:
Tasks performed usually include: operating electronic or computerized control panel from a central control room to monitor and optimize processes; controlling process start-up and shut-down; operating and monitoring switchboards and related equipment; monitoring and inspecting equipment and systems to detect malfunctions; taking readings from charts, meters and gauges at established intervals; troubleshooting and take corrective action as necessary; maintaining records, logs and reports; communicating with other personnel to assess equipment operating status; cleaning and maintaining equipment; supervising plant and machine operators, assemblers and other workers."
314,Life Science Technicians and Related Associate Professionals,"Life science technicians and related associate professionals perform a variety of technical tasks to support life science professionals with their research, development, management, conservation and protection work, in areas such as biology, botany, zoology, biotechnology and biochemistry, and to agriculture, fisheries and forestry.","Tasks performed usually include: conducting tests, experiments, laboratory analyses, field research and surveys to collect information using accepted scientific methods; keeping records; assisting in analyzing data and preparing reports; operating and maintaining equipment.",3,31,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Science and Engineering Associate Professionals

Minor group:
Life Science Technicians and Related Associate Professionals

Definition:
Life science technicians and related associate professionals perform a variety of technical tasks to support life science professionals with their research, development, management, conservation and protection work, in areas such as biology, botany, zoology, biotechnology and biochemistry, and to agriculture, fisheries and forestry.

Tasks include:
Tasks performed usually include: conducting tests, experiments, laboratory analyses, field research and surveys to collect information using accepted scientific methods; keeping records; assisting in analyzing data and preparing reports; operating and maintaining equipment."
315,Ship and Aircraft Controllers and Technicians,"Ship and aircraft controllers and technicians command and navigate ships and aircraft; perform technical functions to ensure safe and efficient movement and operations; and develop electrical, electromechanical and computerized air control systems.","Tasks performed usually include: controlling the operation of mechanical, electrical and electronic equipment on board ship or on aircraft; commanding and navigating ships or aircraft, directing the movements of ships or aircraft; developing electrical, electromechanical and computerized air control systems.",3,31,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Science and Engineering Associate Professionals

Minor group:
Ship and Aircraft Controllers and Technicians

Definition:
Ship and aircraft controllers and technicians command and navigate ships and aircraft; perform technical functions to ensure safe and efficient movement and operations; and develop electrical, electromechanical and computerized air control systems.

Tasks include:
Tasks performed usually include: controlling the operation of mechanical, electrical and electronic equipment on board ship or on aircraft; commanding and navigating ships or aircraft, directing the movements of ships or aircraft; developing electrical, electromechanical and computerized air control systems."
321,Medical and Pharmaceutical Technicians,"Medical and pharmaceutical technicians perform technical tasks to assist in diagnosis and treatment of illness, disease, injuries and impairments.","Tasks performed usually include: testing and operating radiographic, ultrasound and other medical imaging equipment; administering radiopharmaceuticals or radiation to patients to detect or treat diseases; performing clinical tests on specimens of bodily fluids and tissues; 	preparing medications and other pharmaceutical compounds under the guidance of pharmacists; designing, fitting, servicing and repairing medical and dental devices and appliances.",3,32,Technicians and Associate Professionals,Health Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Health Associate Professionals

Minor group:
Medical and Pharmaceutical Technicians

Definition:
Medical and pharmaceutical technicians perform technical tasks to assist in diagnosis and treatment of illness, disease, injuries and impairments.

Tasks include:
Tasks performed usually include: testing and operating radiographic, ultrasound and other medical imaging equipment; administering radiopharmaceuticals or radiation to patients to detect or treat diseases; performing clinical tests on specimens of bodily fluids and tissues; 	preparing medications and other pharmaceutical compounds under the guidance of pharmacists; designing, fitting, servicing and repairing medical and dental devices and appliances."
322,Nursing and Midwifery Associate Professionals,"Nursing and midwifery associate professionals provide basic nursing and personal care for people who are physically or mentally ill, disabled or infirm, and others in need of care due to potential risks to health including before, during and after childbirth. They generally work under the supervision of, and in support of implementation of health care, treatment and referrals plans established by, medical, nursing, midwifery and other health professionals.","Tasks performed usually include: providing nursing and personal care, treatment and advice to patients according to care plans as established by health professionals; assisting professional nurses, midwives and medical doctors in administering medication and treatments; cleaning wounds and applying surgical dressings; providing advice to individuals, families and communities on topics related to health, contraception, pregnancy and childbirth; assessing progress during pregnancy and childbirth, providing or assisting in delivery care and recognizing signs and symptoms requiring referral to a health professional; providing care and support to women and newborns following childbirth.",3,32,Technicians and Associate Professionals,Health Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Health Associate Professionals

Minor group:
Nursing and Midwifery Associate Professionals

Definition:
Nursing and midwifery associate professionals provide basic nursing and personal care for people who are physically or mentally ill, disabled or infirm, and others in need of care due to potential risks to health including before, during and after childbirth. They generally work under the supervision of, and in support of implementation of health care, treatment and referrals plans established by, medical, nursing, midwifery and other health professionals.

Tasks include:
Tasks performed usually include: providing nursing and personal care, treatment and advice to patients according to care plans as established by health professionals; assisting professional nurses, midwives and medical doctors in administering medication and treatments; cleaning wounds and applying surgical dressings; providing advice to individuals, families and communities on topics related to health, contraception, pregnancy and childbirth; assessing progress during pregnancy and childbirth, providing or assisting in delivery care and recognizing signs and symptoms requiring referral to a health professional; providing care and support to women and newborns following childbirth."
323,Traditional and Complementary Medicine Associate Professionals,"Traditional and complementary medicine associate professionals prevent, care for and treat human physical and mental illnesses, disorders and injuries using herbal and other therapies based on theories, beliefs and experiences originating in specific cultures. They administer treatments using traditional techniques and medicaments, either acting independently or according to therapeutic care plans established by a traditional medicine or other health professional.","Tasks performed usually include: examining patients and interviewing them and their families to determine their health status and the nature of physical or mental disorders or illnesses or other ailments; recommending and providing care and treatment for illnesses and other ailments using traditional techniques and medicaments, such as physical manipulation and exercises, blood-letting using natural vessels, and preparations using herbs, plants, insects and animal extracts; administering treatments such as acupuncture, ayurvedic, homeopathic and herbal medicine as per therapeutic care plans and procedures usually developed by a traditional medicine or other health professional; providing care and treatment for physical injuries such as setting and healing fractured and dislocated bones using traditional methods of physical manipulation and herbal therapies; advising individuals, families and the community on health, nutrition, hygiene, lifestyle and other issues to maintain or improve health and well-being; referring patients to, and exchanging information with, other health care providers to ensure comprehensive and continuing care.",3,32,Technicians and Associate Professionals,Health Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Health Associate Professionals

Minor group:
Traditional and Complementary Medicine Associate Professionals

Definition:
Traditional and complementary medicine associate professionals prevent, care for and treat human physical and mental illnesses, disorders and injuries using herbal and other therapies based on theories, beliefs and experiences originating in specific cultures. They administer treatments using traditional techniques and medicaments, either acting independently or according to therapeutic care plans established by a traditional medicine or other health professional.

Tasks include:
Tasks performed usually include: examining patients and interviewing them and their families to determine their health status and the nature of physical or mental disorders or illnesses or other ailments; recommending and providing care and treatment for illnesses and other ailments using traditional techniques and medicaments, such as physical manipulation and exercises, blood-letting using natural vessels, and preparations using herbs, plants, insects and animal extracts; administering treatments such as acupuncture, ayurvedic, homeopathic and herbal medicine as per therapeutic care plans and procedures usually developed by a traditional medicine or other health professional; providing care and treatment for physical injuries such as setting and healing fractured and dislocated bones using traditional methods of physical manipulation and herbal therapies; advising individuals, families and the community on health, nutrition, hygiene, lifestyle and other issues to maintain or improve health and well-being; referring patients to, and exchanging information with, other health care providers to ensure comprehensive and continuing care."
324,Veterinary Technicians and Assistants,"Veterinary technicians and assistants carry out advisory, diagnostic, preventive and curative veterinary tasks, more limited in scope and complexity than those carried out by veterinarians. They care for animals under treatment and in temporary residence at veterinary facilities and assist veterinarians to perform procedures and operations.","Tasks performed usually include: advising communities and individuals on the treatment of animals and their diseases and injuries; conducting examinations of animals to make diagnoses or refer more difficult cases to veterinarians when needed; treating ill or injured animals, especially for common diseases and disorders; cleaning and sterilizing examination tables and instruments and preparing materials used in the examination and treatment of animals; carrying out technical tasks connected with artificial insemination of animals; getting animals ready for examination or treatment and restraining or holding them during treatment;  assisting veterinarians to administer anaesthetics and oxygen during treatment; placing animals in cages for recovery from operations and monitoring their condition.",3,32,Technicians and Associate Professionals,Health Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Health Associate Professionals

Minor group:
Veterinary Technicians and Assistants

Definition:
Veterinary technicians and assistants carry out advisory, diagnostic, preventive and curative veterinary tasks, more limited in scope and complexity than those carried out by veterinarians. They care for animals under treatment and in temporary residence at veterinary facilities and assist veterinarians to perform procedures and operations.

Tasks include:
Tasks performed usually include: advising communities and individuals on the treatment of animals and their diseases and injuries; conducting examinations of animals to make diagnoses or refer more difficult cases to veterinarians when needed; treating ill or injured animals, especially for common diseases and disorders; cleaning and sterilizing examination tables and instruments and preparing materials used in the examination and treatment of animals; carrying out technical tasks connected with artificial insemination of animals; getting animals ready for examination or treatment and restraining or holding them during treatment;  assisting veterinarians to administer anaesthetics and oxygen during treatment; placing animals in cages for recovery from operations and monitoring their condition."
325,Other Health Associate Professionals,"Other health associate professionals perform technical tasks and provide support services in dentistry, medical records administration, community health, the correction of reduced visual acuity, physiotherapy, environmental health, emergency medical treatment and other activities to support and promote human health.","Tasks performed usually include: providing basic care services for the prevention and treatment of diseases and disorders of the teeth and mouth; advising communities and individuals on hygiene, diet and other preventive measures to reduce potential risks to health; compiling and maintaining patients’ medical records to document condition and treatment and to provide data for research, billing, cost control and care improvement; assisting families to develop the necessary skills and resources to improve their health status; providing advice and education on sanitation and hygiene to limit the spread of infectious diseases; fitting and dispensing optical lenses; investigate the implementation of rules and regulations relating to environmental and occupational factors that may potentially affect human health; massaging the soft tissues of the body; showing patients to examination rooms and preparing them for examination; attending and responding to accidents and emergencies and to requests for medical assistance.",3,32,Technicians and Associate Professionals,Health Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Health Associate Professionals

Minor group:
Other Health Associate Professionals

Definition:
Other health associate professionals perform technical tasks and provide support services in dentistry, medical records administration, community health, the correction of reduced visual acuity, physiotherapy, environmental health, emergency medical treatment and other activities to support and promote human health.

Tasks include:
Tasks performed usually include: providing basic care services for the prevention and treatment of diseases and disorders of the teeth and mouth; advising communities and individuals on hygiene, diet and other preventive measures to reduce potential risks to health; compiling and maintaining patients’ medical records to document condition and treatment and to provide data for research, billing, cost control and care improvement; assisting families to develop the necessary skills and resources to improve their health status; providing advice and education on sanitation and hygiene to limit the spread of infectious diseases; fitting and dispensing optical lenses; investigate the implementation of rules and regulations relating to environmental and occupational factors that may potentially affect human health; massaging the soft tissues of the body; showing patients to examination rooms and preparing them for examination; attending and responding to accidents and emergencies and to requests for medical assistance."
331,Financial and Mathematical Associate Professionals,"Financial and mathematical associate professionals place a value on various items and property, maintain records of financial transactions, analyse loan application information and render a decision, buy and sell financial instruments, and perform mathematical and related calculations.","Tasks performed usually include: recording and transmitting buy and sell orders for securities, stocks, bonds or other financial instruments and for foreign exchange for future or immediate delivery; submitting credit and loan applications to management with recommendations for approval or rejection; or approve or reject applications within authorized limits ensuring that credit standards of the institution are respected; maintaining complete records of all financial transactions of an undertaking according to general bookkeeping principles, with guidance from accountants; assisting in planning and performing mathematical, statistical, actuarial, accounting and related calculations.",3,33,Technicians and Associate Professionals,Business and Administration Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Business and Administration Associate Professionals

Minor group:
Financial and Mathematical Associate Professionals

Definition:
Financial and mathematical associate professionals place a value on various items and property, maintain records of financial transactions, analyse loan application information and render a decision, buy and sell financial instruments, and perform mathematical and related calculations.

Tasks include:
Tasks performed usually include: recording and transmitting buy and sell orders for securities, stocks, bonds or other financial instruments and for foreign exchange for future or immediate delivery; submitting credit and loan applications to management with recommendations for approval or rejection; or approve or reject applications within authorized limits ensuring that credit standards of the institution are respected; maintaining complete records of all financial transactions of an undertaking according to general bookkeeping principles, with guidance from accountants; assisting in planning and performing mathematical, statistical, actuarial, accounting and related calculations."
332,Sales and Purchasing Agents and Brokers,"Sales and purchasing agents and brokers represent companies, governments and other organizations to buy and sell commodities, goods, insurance, shipping and other services to industrial, professional, commercial or other establishments, or act as independent agents to bring together buyers and sellers of commodities and services.","Tasks performed usually include: obtaining information about employers’ and competitors’ goods and services; monitoring and analysing market trends and conditions; obtaining information about clients’ needs and identifying suitable products and services; explaining and demonstrating products and services to clients; negotiating prices, contracts, terms, conditions and shipping arrangements for purchase or sale of goods, services or commodities.",3,33,Technicians and Associate Professionals,Business and Administration Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Business and Administration Associate Professionals

Minor group:
Sales and Purchasing Agents and Brokers

Definition:
Sales and purchasing agents and brokers represent companies, governments and other organizations to buy and sell commodities, goods, insurance, shipping and other services to industrial, professional, commercial or other establishments, or act as independent agents to bring together buyers and sellers of commodities and services.

Tasks include:
Tasks performed usually include: obtaining information about employers’ and competitors’ goods and services; monitoring and analysing market trends and conditions; obtaining information about clients’ needs and identifying suitable products and services; explaining and demonstrating products and services to clients; negotiating prices, contracts, terms, conditions and shipping arrangements for purchase or sale of goods, services or commodities."
333,Business Services Agents,"Business service agents establish contacts to sell various business services such as advertising space in the media; carry out customs clearance activities ensuring that necessary documents are in order; match jobseekers with vacancies; find workers for employers; arrange contracts for the performance of athletes, entertainers and artists, as well as for the publication of books, the production of plays, or the recording, performance and sale of music; and plan and organize conferences and similar events.","Tasks performed usually include: carrying out customs clearing procedures for exports or imports; arranging and coordinating conference and event services, such as conference facilities, catering, signage, displays, audiovisual and computer equipment, accommodation, transport and social events, for participants; matching jobseekers with vacancies; finding workers for vacant posts for employers; showing real estate properties to be sold or leased to prospective buyers or tenants and explaining terms of sale or conditions of rent or lease; selling by auction various kinds of property, cars, commodities, livestock, art, jewellery and other objects; arranging contracts for performers and performances.",3,33,Technicians and Associate Professionals,Business and Administration Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Business and Administration Associate Professionals

Minor group:
Business Services Agents

Definition:
Business service agents establish contacts to sell various business services such as advertising space in the media; carry out customs clearance activities ensuring that necessary documents are in order; match jobseekers with vacancies; find workers for employers; arrange contracts for the performance of athletes, entertainers and artists, as well as for the publication of books, the production of plays, or the recording, performance and sale of music; and plan and organize conferences and similar events.

Tasks include:
Tasks performed usually include: carrying out customs clearing procedures for exports or imports; arranging and coordinating conference and event services, such as conference facilities, catering, signage, displays, audiovisual and computer equipment, accommodation, transport and social events, for participants; matching jobseekers with vacancies; finding workers for vacant posts for employers; showing real estate properties to be sold or leased to prospective buyers or tenants and explaining terms of sale or conditions of rent or lease; selling by auction various kinds of property, cars, commodities, livestock, art, jewellery and other objects; arranging contracts for performers and performances."
334,Administrative and Specialized Secretaries,"Administrative and specialized secretaries provide organizational, communication and documentation support services, utilizing specialized knowledge of the business activity of the organization in which they are employed. They take supervisory responsibility for office clerks in the organization.","Tasks performed usually include: coordinating, assigning and reviewing the work of clerical support workers; desktop publishing; preparing and processing legal documents and papers such as deeds, wills, affidavits and briefs; implementing and supporting the communication, documentation and internal managerial co-ordination activities of an organizational unit, on some occasions utilizing specialized knowledge of the business activity of the organization; scheduling and confirming meetings and appointments and communicating messages for clients; compiling, recording and reviewing legal and medical records, reports, documents and correspondence.",3,33,Technicians and Associate Professionals,Business and Administration Associate Professionals,"Major group:
Technicians and Associate Professionals

Sub-major group:
Business and Administration Associate Professionals

Minor group:
Administrative and Specialized Secretaries

Definition:
Administrative and specialized secretaries provide organizational, communication and documentation support services, utilizing specialized knowledge of the business activity of the organization in which they are employed. They take supervisory responsibility for office clerks in the organization.

Tasks include:
Tasks performed usually include: coordinating, assigning and reviewing the work of clerical support workers; desktop publishing; preparing and processing legal documents and papers such as deeds, wills, affidavits and briefs; implementing and supporting the communication, documentation and internal managerial co-ordination activities of an organizational unit, on some occasions utilizing specialized knowledge of the business activity of the organization; scheduling and confirming meetings and appointments and communicating messages for clients; compiling, recording and reviewing legal and medical records, reports, documents and correspondence."
